member_id,scope,committee_id,committee_name,role,aanwezig,afwezig,verontschuldigd
4070,commissie,1832495.0,"Commissie voor Leefmilieu, Natuur en Ruimtelijke Ordening",niet-lid-aanwezigheid,2.0,,
4070,commissie,1832496.0,Commissie voor Mobiliteit en Openbare Werken,plaatsvervangend-lid-aanwezigheid,5.0,,
4070,commissie,1832497.0,Commissie voor Onderwijs,vast-lid-aanwezigheid,108.0,,9.0
4070,commissie,1832498.0,"Commissie voor Welzijn, Volksgezondheid, Gezin, Armoedebestrijding en Gelijke Kansen",plaatsvervangend-lid-aanwezigheid,31.0,,1.0
2838,plenaire,,,,79.0,2.0,4.0
2838,commissie,1832481.0,"Commissie voor Algemeen Beleid, Financiën, Begroting, Justitie en Onroerend Erfgoed",niet-lid-aanwezigheid,4.0,,
2838,commissie,1832491.0,"Commissie voor Buitenlands Beleid, Europese Aangelegenheden en Internationale Samenwerking",vast-lid-aanwezigheid,46.0,4.0,10.0
2838,commissie,1832492.0,"Commissie voor Cultuur, Jeugd, Sport en Media",niet-lid-aanwezigheid,1.0,,
2838,commissie,1832493.0,"Commissie voor Economie, Werk, Sociale Economie, Wetenschap en Innovatie",plaatsvervangend-lid-aanwezigheid,1.0,,1.0
2838,commissie,1832499.0,"Commissie voor Wonen, Toerisme, Energie en Klimaat",niet-lid-aanwezigheid,1.0,,
4432,plenaire,,,,82.0,1.0,2.0
4432,commissie,1829775.0,Commissie ad hoc,vast-lid-aanwezigheid,1.0,,
4432,commissie,1832481.0,"Commissie voor Algemeen Beleid, Financiën, Begroting, Justitie en Onroerend Erfgoed",niet-lid-aanwezigheid,4.0,,
4432,commissie,1832489.0,Commissie voor Binnenlands Bestuur en Inburgering,niet-lid-aanwezigheid,2.0,,
4432,commissie,1832492.0,"Commissie voor Cultuur, Jeugd, Sport en Media",niet-lid-aanwezigheid,1.0,,
